Facultad / Departamento,D_2010,M_2010,E/P_2010,Total_2010,D_2015,M_2015,E/P_2015,Total_2015,D_2021,M_2021,E/P_2021,Total_2021
Administración,27,19.0,2.0,48.0,39.0,13.0,4.0,55.0,55.0,10.0,0.0,65.0
Arquitectura,2,15.0,7.0,23.0,12.0,11.0,3.0,26.0,10.0,16.0,1.0,27.0
Diseño,0,22.0,1.0,23.0,1.0,24.0,1.0,26.0,7.0,23.0,1.0,31.0
Decanatura Facultad,0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0
Arquitectura y Diseño,2,37.0,8.0,46.0,13.0,34.0,5.0,52.0,17.0,40.0,2.0,59.0
Arte,4,13.0,1.0,18.0,4.0,13.0,1.0,18.0,0.0,17.0,0.0,17.0
Historia del Arte,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,8.0
Humanidades y literatura,12,1.0,1.0,14.0,12.0,1.0,1.0,14.0,16.0,0.0,1.0,17.0
Música,1,12.0,5.0,18.0,4.0,9.0,4.0,17.0,8.0,11.0,2.0,21.0
CEPER,0,3.0,0.0,3.0,1.0,5.0,0.0,6.0,3.0,5.0,0.0,8.0
Decanatura Facultad,0,0.0,0.0,0.0,2.0,0.0,1.0,3.0,4.0,2.0,0.0,6.0
Artes y Humanidades,17,29.0,7.0,53.0,23.0,28.0,7.0,58.0,39.0,35.0,3.0,77.0
Ciencias Biológicas,20,7.0,0.0,27.0,19.0,6.0,0.0,25.0,21.0,3.0,0.0,24.0
Física,24,2.0,0.0,26.0,25.0,1.0,1.0,27.0,23.0,2.0,0.0,25.0
Geociencias,0,0.0,0.0,0.0,8.0,0.0,0.0,8.0,9.0,0.0,1.0,10.0
Matemáticas,22,9.0,6.0,37.0,35.0,10.0,7.0,52.0,38.0,9.0,4.0,51.0
Química,8,1.0,1.0,10.0,14.0,0.0,0.0,14.0,19.0,0.0,0.0,19.0
Decanatura Facultad,0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,3.0,1.0,0.0,4.0
Ciencias,74,19.0,7.0,99.0,103.0,16.0,8.0,127.0,112.0,15.0,5.0,132.0
Antropología,11,2.0,0.0,13.0,12.0,1.0,0.0,13.0,15.0,0.0,0.0,15.0
Ciencia Política,11,3.0,0.0,14.0,13.0,0.0,0.0,13.0,16.0,0.0,0.0,16.0
Filosofía,8,3.0,0.0,10.0,10.0,0.0,0.0,10.0,11.0,0.0,1.0,12.0
Historia y Geografía*,15,1.0,0.0,16.0,15.0,1.0,0.0,16.0,13.0,0.0,0.0,13.0
Lenguas y Cultura,6,8.0,2.0,16.0,10.0,12.0,1.0,23.0,12.0,18.0,0.0,30.0
Psicología,15,1.0,0.0,15.0,19.0,1.0,0.0,19.0,16.0,0.0,0.0,16.0
Decanatura Facultad,2,0.0,0.0,2.0,4.0,0.0,0.0,4.0,9.0,1.0,0.0,10.0
Ciencias Sociales,67,17.0,2.0,86.0,82.0,15.0,1.0,97.0,91.0,19.0,1.0,111.0
CIDER,8,2.0,0.0,10.0,7.0,2.0,0.0,9.0,12.0,0.0,0.0,12.0
Derecho,14,18.0,4.0,35.0,25.0,12.0,1.0,38.0,35.0,6.0,0.0,41.0
Economía,26,8.0,0.0,34.0,32.0,6.0,0.0,38.0,32.0,5.0,0.0,37.0
Educación,7,5.0,0.0,12.0,12.0,4.0,0.0,16.0,17.0,0.0,0.0,17.0
Escuela de Gobierno,4,1.0,0.0,5.0,10.0,1.0,0.0,11.0,15.0,0.0,1.0,16.0
Ing. Biomédica,0,0.0,0.0,0.0,6.0,1.0,0.0,7.0,8.0,1.0,0.0,9.0
Ing. Civil y Ambiental,12.0,12.0,0.0,23.0,16.0,9.0,1.0,26.0,21.0,6.0,0.0,26.0
Ing. Eléctrica y Electrónica,16.0,2.0,3.0,21.0,16.0,0.0,0.0,16.0,17.0,2.0,0.0,19.0
Ing. Industrial,12.0,14.0,1.0,27.0,16.0,11.0,0.0,27.0,16.0,12.0,0.0,28.0
Ing. Mecánica,14.0,2.0,1.0,17.0,10.0,4.0,0.0,14.0,12.0,2.0,0.0,14.0
Ing. Química y Alimentos**,6.0,7.0,0.0,13.0,8.0,1.0,0.0,9.0,12.0,0.0,0.0,12.0
Ing. Sistemas,12.0,11.0,1.0,24.0,19.0,10.0,2.0,31.0,23.0,8.0,0.0,31.0
Decanatura Facultad,2.0,2.0,0.0,4.0,3.0,0.0,0.0,3.0,6.0,2.0,2.0,10.0
Ingeniería,73.0,50.0,6.0,128.0,94.0,35.0,3.0,132.0,114.0,32.0,2.0,148.0
Medicina,9.0,1.0,0.0,10.0,13.0,0.0,0.0,13.0,20.0,2.0,0.0,22.0
Otras unidades,1.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0
Total Uniandes,327.0,205.0,35.0,567.0,452.0,164.0,28.0,644.0,559.0,164.0,14.0,737.0
