,La misma Fac/Dept que ofrece el curso,Administración,Arquitectura y Diseño,Artes y Humanidades,Ciencias,Ciencias Sociales,Derecho,Economía,Educación,Escuela de Gobierno,Estudios Dirigidos,Ingeniería,Medicina,Total
Administración,0.68,0.68,0.05,0.01,0.00,0.02,0.05,0.08,0.00,0.01,0.01,0.08,0.00,1.00
Arquitectura,0.81,0.01,0.84,0.02,0.01,0.01,0.01,0.01,0.00,0.00,0.01,0.07,0.00,1.00
Diseño,0.78,0.04,0.81,0.04,0.01,0.02,0.01,0.00,0.00,0.00,0.01,0.06,0.00,1.00
Arquitectura y Diseño,0.83,0.03,0.83,0.03,0.01,0.02,0.01,0.01,0.00,0.00,0.01,0.07,0.00,1.00
Arte,0.40,0.04,0.14,0.51,0.03,0.06,0.05,0.02,0.01,0.01,0.00,0.12,0.01,1.00
Historia del Arte,0.17,0.06,0.12,0.37,0.02,0.11,0.11,0.04,0.00,0.01,0.01,0.14,0.01,1.00
Humanidades y Literatura,0.20,0.05,0.10,0.25,0.08,0.08,0.08,0.07,0.01,0.01,0.01,0.24,0.04,1.00
Música,0.47,0.06,0.04,0.51,0.04,0.03,0.05,0.05,0.00,0.01,0.00,0.17,0.04,1.00
Periodismo,0.47,0.03,0.04,0.56,0.01,0.11,0.07,0.03,0.00,0.01,0.01,0.10,0.02,1.00
Decanatura,0.19,0.04,0.08,0.19,0.03,0.12,0.11,0.11,0.00,0.02,0.00,0.24,0.06,1.00
Artes y Humanidades,0.42,0.05,0.08,0.42,0.05,0.07,0.07,0.05,0.01,0.01,0.01,0.17,0.03,1.00
Biología y Microbiología,0.35,0.01,0.09,0.01,0.39,0.02,0.01,0.01,0.00,0.00,0.01,0.34,0.12,1.00
Física,0.17,0.01,0.01,0.01,0.26,0.00,0.01,0.01,0.00,0.00,0.01,0.59,0.09,1.00
Geociencias,0.43,0.00,0.09,0.01,0.56,0.00,0.01,0.01,0.00,0.00,0.00,0.32,0.00,1.00
Matemáticas,0.05,0.12,0.02,0.01,0.16,0.01,0.02,0.12,0.00,0.02,0.01,0.48,0.02,1.00
Química,0.14,0.01,0.02,0.01,0.35,0.01,0.01,0.01,0.00,0.01,0.01,0.44,0.14,1.00
