,Facultad / Departamento del estudiante,Administración,"Arquitectura y 
Diseño","Artes y 
Humanidades",Ciencias,"Ciencias 
Sociales",Derecho,Economía,Educación,"Escuela de 
Gobierno",Ingeniería,Medicina,Otros,Total
Administración,0.55,0.55,0.03,0.05,0.11,0.10,0.05,0.06,0.01,0.01,0.01,,0.03,1.00
Contaduría Internacional,0.63,0.63,0.01,0.03,0.06,0.12,0.06,0.03,0.01,0.01,0.02,,0.03,1.00
Administración,0.55,0.55,0.03,0.05,0.10,0.11,0.05,0.06,0.01,0.01,0.01,0.00,0.03,1.00
Arquitectura,0.69,0.02,0.72,0.05,0.06,0.08,0.01,,0.01,,0.01,,0.04,1.00
Diseño,0.63,0.04,0.66,0.08,0.06,0.08,0.02,,0.01,,0.01,,0.04,1.00
Arquitectura y Diseño,0.69,0.03,0.69,0.07,0.06,0.08,0.01,0.00,0.01,0.00,0.01,0.00,0.04,1.00
Arte,0.47,0.02,0.12,0.62,0.02,0.15,0.02,,0.01,,0.01,,0.04,1.00
Historia del Arte,0.30,0.03,0.08,0.48,0.03,0.25,0.01,0.01,0.01,0.01,0.01,,0.07,1.00
Literatura,0.57,0.01,0.01,0.72,0.03,0.17,0.01,0.01,0.01,0.01,,,0.03,1.00
Música,0.70,0.02,0.01,0.75,0.03,0.12,0.02,,0.01,,,,0.03,1.00
Periodismo,0.54,0.01,0.05,0.70,0.01,0.14,0.02,,0.01,0.01,,,0.04,1.00
Artes y Humanidades,0.68,0.01,0.05,0.68,0.02,0.15,0.02,0.00,0.01,0.01,0.01,0.00,0.04,1.00
Biología,0.43,0.01,0.01,0.04,0.72,0.09,0.02,0.01,0.01,,0.05,,0.05,1.00
Física,0.35,,0.01,0.07,0.59,0.14,0.03,0.01,,,0.08,,0.06,1.00
Geociencias,0.36,,0.01,0.04,0.64,0.13,0.03,,0.01,0.01,0.07,,0.06,1.00
Matemáticas,0.47,0.01,0.01,0.07,0.60,0.11,0.02,0.02,0.02,,0.10,,0.04,1.00
Microbiología,0.42,0.01,0.02,0.05,0.66,0.11,0.01,,0.02,0.01,0.05,0.01,0.06,1.00
Química,0.40,,,0.04,0.64,0.15,0.01,,0.02,,0.08,,0.06,1.00
Ciencias,0.64,0.00,0.01,0.05,0.64,0.12,0.02,0.01,0.01,0.00,0.07,0.00,0.06,1.00
Antropología,0.42,0.01,0.03,0.13,0.03,0.71,0.02,0.01,,,,,0.06,1.00
Ciencia Política,0.37,0.02,0.01,0.08,0.02,0.62,0.12,0.04,,0.03,0.01,,0.04,1.00
Filosofía,0.49,,,0.12,0.02,0.74,0.06,,0.01,,0.01,,0.03,1.00
Historia,0.40,,,0.10,0.02,0.75,0.07,,,,0.01,,0.03,1.00
Lenguajes y Est. Soc.,0.33,,,,0.04,0.58,0.29,,0.04,,0.04,,,1.00
Lenguas y Cultura,0.53,0.02,0.02,0.10,0.02,0.74,0.03,0.01,0.02,,,,0.06,1.00
