Facultad/Departamento,2019-2,2020-1,2020-2,2021-1,P2019-2,P2020-1,P2020-2,P2021-1
Administración,6406,6134,6836,6779,0.52,0.57,0.62,0.59
Arquitectura,3403,3543,3683,4270,0.60,0.57,0.53,0.55
Diseño,3693,4020,4113,4418,0.53,0.52,0.51,0.70
Arquitectura y Diseño,7095,7563,7796,8688,0.56,0.54,0.52,0.63
Arte,1610,1575,1387,1615,0.47,0.46,0.67,0.58
Historia del Arte,525,794,876,699,0.75,0.80,0.95,0.92
Humanidades y Literatura,1854,2050,2031,1855,0.47,0.53,0.46,0.66
Música,2155,2087,1980,2338,0.48,0.50,0.56,0.58
Periodismo,832,862,1136,1305,0.94,0.70,0.77,0.69
Decanatura,223,386,459,369,0.90,0.96,0.90,0.95
Artes y Humanidades,7199,7754,7869,8181,0.55,0.58,0.63,0.66
Ciencias Biológicas,5288,4750,3879,4152,0.56,0.51,0.57,0.60
Física,5012,4913,5464,5103,0.67,0.62,0.60,0.56
Geociencias,964,894,889,937,0.80,0.78,0.83,0.82
Matemáticas,6372,6524,6828,6967,0.91,0.89,0.87,0.86
Química,2606,2869,2433,2777,0.61,0.62,0.61,0.64
Decanatura de Ciencias,,7,108,159,,,1.00,
Ciencias,20242,19957,19601,20095,0.71,0.69,0.70,0.69
Antropología,1195,1093,1158,884,0.75,0.87,0.91,0.84
Ciencia Política,1327,1212,1442,1292,0.94,0.88,0.99,0.92
Filosofía,921,704,982,851,0.81,0.67,0.94,0.99
Historia,1091,1320,1076,989,0.97,0.99,1.00,1.00
Lenguas y Cultura,8130,8461,9098,9678,0.20,0.24,0.22,0.17
Psicología,1658,1725,1800,1789,0.81,0.80,0.83,0.83
Ciclo Ciencias Sociales,245,211,272,408,1.00,0.99,0.99,0.99
Ciencias Sociales,14567,14726,15828,15891,0.48,0.50,0.51,0.46
Derecho,6838,7005,7141,7345,0.57,0.55,0.58,0.60
Economía,4109,4449,4799,4877,0.77,0.75,0.80,0.76
Educación,1165,1003,1533,1131,0.99,0.97,0.97,0.98
Escuela de Gobierno,968,978,1024,1184,0.76,0.86,0.95,0.95
Ingeniería Biomédica,1457,1752,1724,2010,0.50,0.50,0.53,0.52
Ingeniería Civil y Ambiental,4069,3634,3464,3572,0.57,0.57,0.54,0.52
Ingeniería Eléctrica y Electrónica,2716,2635,2472,2592,0.55,0.54,0.53,0.58
Ingeniería General,109,15,37,39,0.30,1.00,1.00,0.97
Ingeniería Industrial,4570,4492,4493,4508,0.64,0.64,0.58,0.57
Ingeniería Mecánica,2195,2524,2321,2638,0.61,0.48,0.51,0.56
Ingeniería Química,1699,1576,1603,1861,0.50,0.62,0.51,0.62
Ingeniería de Sistemas,3650,3816,3999,4190,0.62,0.58,0.49,0.48
Ingeniería,20465,20444,20113,21410,0.58,0.57,0.53,0.55
Medicina,4445,4113,4331,4519,,,,
Total Uniandes,93498,94126,96871,100100,0.60,0.60,0.61,0.61
