Unidad contratante,2017-1,2017-2,2018-1,2018-2,2019-1,2019-2,2020-1,2020-2,2021-1
Administración,3,7,3,4,4,2,2,1,2
Arquitectura,10,9,7,8,3,5,3,7,2
Diseño,6,5,3,4,3,3,2,3,4
Arquitectura y Diseño,16,14,10,12,6,8,5,10,6
Arte,,,,1,2,2,1,2,2
Historia del Arte,,,,2,2,2,3,2,2
Humanidades y Literatura,7,6,7,1,,,,2,1
Música,,,,1,1,1,,2,2
Centro de Estudios de Periodismo,5,4,5,4,2,4,2,3,3
Facultad de Artes y Humanidades,7,8,7,1,2,,3,2,2
Artes y Humanidades,19,18,19,10,9,9,9,13,12
Ciencias Biológicas,65,76,69,64,42,47,24,31,38
Física,27,31,34,27,16,19,20,9,10
Matemáticas,22,25,27,23,22,20,17,16,16
Química,16,21,14,15,12,10,13,17,19
Facultad de Ciencias,2,2,3,2,2,1,,,
Ciencias,132,155,147,131,94,97,74,73,83
Ciencia Política,4,4,1,,1,,,,
Filosofía,,1,,,,,,,
Lenguas y Cultura,10,14,14,,,,,,
Psicología,1,,2,2,2,1,3,1,1
Facultad de C. Sociales,17,12,11,9,7,14,11,6,9
Ciencias Sociales,32,31,28,11,10,15,14,7,10
Derecho,3,2,4,4,2,,4,3,2
Economía,21,20,15,16,15,13,13,10,4
Educación,10,20,14,88,4,6,2,2,2
Escuela de Gobierno,15,19,23,24,23,11,18,6,5
Ingeniería Biomédica,10,17,14,22,18,16,17,17,19
Ingeniería Civil y Ambiental,56,54,54,50,49,47,48,43,39
Ingeniería Eléctrica y Electrónica,22,26,25,22,22,18,26,24,23
Ingeniería Industrial,62,68,67,67,63,66,66,66,64
Ingeniería Mecánica,24,23,22,18,20,20,20,20,20
Ingeniería Química y Alimentos,23,21,23,22,20,19,20,17,18
Ingeniería de Sistemas,23,36,39,31,21,17,11,12,15
CIFI,73,58,49,42,50,57,53,41,39
Facultad de Ingeniería,6,5,4,3,1,7,4,3,1
Ingeniería,299,308,297,277,264,267,265,243,238
Medicina,4,6,3,7,8,14,9,8,8
Centro de Español**,64,66,64,,,,,,
Centro de Ética,1,1,,,,,,,
CIDER,6,7,10,8,7,7,9,9,6
Conecta-TE,,,,,,1,,1,
Dirección de Planeación y Evaluación,2,1,1,,,,,,
Dirección de Servicios Administrativos,,,,,,,1,,
Gerencia del campus,1,1,1,1,1,1,,,
Vicerrectoría Académica,,1,1,15,114,123,125,118,111
Vicerrectoría de Investigación y Creación,20,20,28,18,12,12,10,5,5
DSIT,,,,,9,7,5,2,
Total Uniandes,648,697,668,626,582,593,565,511,494
