Unidad contratante,2016-1,2016-2,2017-1,2017-2,2018-1,2018-2,2019-1,2019-2,2020-1,2020-2,2021-1
Administración,2,1,,,,,2,5,6,10,6
Artes y Humanidades,4,2,1,3,2,,,,,,1
Ciencias Biológicas,10,7,9,12,18,16,17,20,30,25,26
Física,25,31,24,19,21,17,18,22,22,32,30
Matemáticas,18,19,23,17,13,15,16,18,15,18,16
Química,6,9,11,9,9,8,9,10,13,16,14
Facultad de Ciencias,2,1,,1,1,,1,1,1,1,1
Ciencias,61,67,67,58,62,56,61,71,81,92,87
Antropología,2,1,,,,1,,,,,
Ciencia Política,,2,2,2,2,,1,,1,,
Filosofía,2,3,3,,,,,,,,
Psicología,4,7,,,1,1,1,,,,
Facultad de Ciencias Sociales,1,2,3,1,1,1,1,,,,
Ciencias Sociales,9,15,8,3,4,3,3,,1,,
Derecho,17,22,22,19,12,10,10,11,12,15,13
Economía,2,2,2,,,1,1,1,2,1,
Educación,4,9,11,9,7,8,5,4,4,3,3
Escuela de Gobierno,,,,,,1,1,1,1,1,
Ingeniería Biomédica,,,,1,,1,2,1,2,3,1
Ingeniería Civil y Ambiental,3,2,,,,,4,5,6,6,4
Ingeniería de Sistemas,10,5,2,3,3,8,8,10,8,6,7
Ingeniería Eléctrica y Electrónica,1,1,,1,,,1,1,1,,
Ingeniería Industrial,,,,,3,5,7,9,9,14,15
Ingeniería Mecánica,1,1,1,,,2,2,2,2,1,2
Ingeniería Química y Alimentos,,,2,2,2,2,5,6,5,7,5
CIFI,1,6,,,,,8,11,12,16,12
Facultad de Ingeniería,,,6,10,6,10,1,1,1,,
Ingeniería,16,15,11,17,14,28,38,46,46,53,46
Centro de Español,1,1,1,,1,,,,,,
Centro de Ética,1,1,1,,,,1,,1,1,
CIDER,,,,,,,1,1,2,1,1
Centro de Estudios de la Orinoquía,,,1,1,,,,,,,
Vicerrectoría Académica,1,,,,,2,4,3,3,3,2
Vicerrectoría de Investigación y Creación,7,6,6,7,6,7,8,9,5,6,5
Total,125,141,131,117,108,116,135,152,164,186,164
