Facultad / Programa,2017-2,2018-1,2018-2,2019-1,2019-2,2020-1,2020-2,2021-1
Administración,117,115,137,147,129,146,111,133
Contaduría Internacional,,,,,,5,12,11
Administración,117,115,137,147,129,151,123,144
Arquitectura,75,67,91,69,69,77,80,66
Diseño,84,83,75,76,83,83,73,76
Diseño Industrial,2,1,2,1,,1,,
Arquitectura y Diseño,161,151,168,146,152,161,153,142
Arte,35,35,28,31,24,38,21,23
Historia del Arte,10,5,8,11,4,9,4,7
Literatura,17,15,19,17,24,25,14,38
Música,12,10,18,12,16,17,8,14
Artes y Humanidades,74,65,73,71,68,89,47,82
Biología,20,29,25,16,31,34,33,47
Física,16,15,21,23,21,20,16,20
Geociencias,16,25,33,30,22,30,34,21
Matemáticas,11,7,12,9,15,9,11,12
Microbiología,15,24,24,18,19,34,34,38
Química,6,2,7,5,7,7,8,9
Ciencias,84,102,122,101,115,134,136,147
Antropología,26,26,19,27,24,43,21,23
Ciencia Política,40,43,55,58,43,58,34,71
Filosofía,25,12,16,13,10,13,13,15
Historia,8,10,13,13,18,7,13,9
"Lenguajes y Est, Soc,",6,9,10,9,5,3,,
Lenguas y Cultura,,1,4,3,13,18,15,15
Psicología,60,44,50,78,86,63,52,62
Ciencias Sociales,165,145,167,201,199,205,148,195
Derecho,90,113,122,95,96,104,108,123
Economía,98,92,94,103,102,123,115,121
"Lic, en Arte",,,,,,,1,2
"Lic, en Educación Infantil",,,,,,2,1,
"Lic, en Español y Filología",,,,,,,,1
"Lic, En Física",,,,,,,,1
"Lic, en Historia",,,,,,1,1,
"Lic, en Matemáticas",,,,,,1,1,1
Educación,,,,,,4,4,5
Gobierno y AP,3,2,9,16,15,25,21,25
Escuela de Gobierno,3,2,9,16,15,25,21,25
Ingeniería Ambiental,50,32,39,42,53,74,37,40
Ingeniería Biomédica,22,37,30,46,36,43,35,54
Ingeniería Civil,79,100,75,81,106,125,102,87
Ingeniería Eléctrica,15,10,16,7,11,24,19,23
Ingeniería Electrónica,23,32,13,19,19,36,36,48
Ingeniería Industrial,146,180,159,177,196,212,187,184
Ingeniería Mecánica,56,46,68,65,73,67,78,62
Ingeniería Química,57,58,65,68,64,67,55,75
Ingeniería de Sistemas,31,39,23,28,36,59,72,70
Ingeniería,479,534,488,533,594,707,621,643
Medicina,36,43,39,58,60,76,62,29
Total,1307,1362,1419,1471,1530,1779,1538,1656
