Facultad / Departamento,2016-1,2016-2,2017-1,2017-2,2018-1,2018-2,2019-1,2019-2,2020-1,2020-2,2021-1
Administración,"1,009",997.0,985.0,989.0,989.0,1019.0,1020.0,1037.0,1058.0,1159.0,1202.0
Contaduría internacional,29,48.0,60.0,85.0,88.0,100.0,104.0,107.0,110.0,97.0,93.0
Administración,"1,038",1045.0,1045.0,1074.0,1077.0,1119.0,1124.0,1144.0,1168.0,1256.0,1295.0
Arquitectura,717,731.0,732.0,724.0,715.0,681.0,718.0,720.0,723.0,691.0,722.0
Diseño,710,730.0,761.0,751.0,761.0,765.0,781.0,793.0,795.0,812.0,833.0
Arquitectura y Diseño,"1,427",1461.0,1493.0,1475.0,1476.0,1446.0,1499.0,1513.0,1518.0,1503.0,1555.0
Arte,278,290.0,298.0,291.0,280.0,267.0,230.0,241.0,221.0,203.0,204.0
Historia del Arte,52,65.0,78.0,77.0,81.0,72.0,72.0,64.0,56.0,63.0,58.0
Literatura,181,182.0,200.0,198.0,210.0,202.0,196.0,181.0,168.0,160.0,139.0
Música,197,201.0,186.0,203.0,205.0,210.0,192.0,205.0,201.0,218.0,208.0
Narrativas digitales,0,0.0,0.0,0.0,0.0,0.0,7.0,34.0,70.0,112.0,136.0
Artes y Humanidades,708,738.0,762.0,769.0,776.0,751.0,697.0,725.0,716.0,756.0,745.0
Biología,238,248.0,254.0,249.0,231.0,230.0,234.0,230.0,228.0,212.0,198.0
Física,220,203.0,212.0,208.0,208.0,210.0,233.0,242.0,279.0,283.0,326.0
Geociencias,280,256.0,235.0,232.0,228.0,216.0,199.0,177.0,151.0,133.0,135.0
Matemáticas,97,94.0,83.0,91.0,90.0,97.0,98.0,104.0,108.0,108.0,108.0
Microbiología,134,151.0,162.0,172.0,181.0,168.0,172.0,182.0,185.0,174.0,191.0
Química,104,89.0,96.0,96.0,95.0,89.0,78.0,86.0,93.0,86.0,89.0
Ciencias,"1,073",1041.0,1042.0,1048.0,1033.0,1010.0,1014.0,1021.0,1044.0,996.0,1047.0
Antropología,199,189.0,193.0,174.0,170.0,175.0,174.0,163.0,144.0,137.0,134.0
Ciencia Política,487,491.0,491.0,477.0,466.0,445.0,423.0,404.0,368.0,349.0,319.0
Filosofía,80,89.0,90.0,74.0,79.0,77.0,67.0,70.0,68.0,67.0,66.0
Historia,76,80.0,84.0,87.0,82.0,72.0,65.0,55.0,56.0,46.0,54.0
"Lenguajes y Est, Soc,",82,66.0,49.0,42.0,34.0,24.0,14.0,7.0,5.0,5.0,6.0
